心知状态码,"HTTP 状态码",说明
AP010001,403,"API请求参数错误。"
AP010002,403,"没有权限访问这个API接口。在此查看你有权访问的API接口。"
AP010003,403,"API密钥key错误。"
AP010004,403,"签名错误。"
AP010005,404,"你请求的API不存在。"
AP010006,403,"没有权限访问这个地点。"
AP010007,403,"JSONP请求需要使用签名验证方式。"
AP010008,403,"没有绑定域名。请在控制台对应的产品管理下进行域名绑定。"
AP010009,403,"API请求的user-agent与你设置的不一致。"
AP010010,404,"没有这个地点。"
AP010011,404,"无法查找到指定IP地址对应的城市。"
AP010012,403,"你的服务已经过期。在此续费。"
AP010013,403,"访问量余额不足。在此购买。"
AP010014,403,"访问频率超过限制。"
AP010015,404,"暂不支持该城市的车辆限行信息。"
AP010016,500,"暂不支持该城市的潮汐数据。"
AP010017,404,"请求的坐标超出支持的范围。"
AP100001,404,"系统内部错误：数据缺失。"
AP100002,500,"系统内部错误：数据错误。"
AP100003,500,"系统内部错误：服务内部错误。"
AP100004,500,"系统内部错误：网关错误。"
